player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form,availability_status,xg_per90,shots_per90,shots_on_target_per90,key_passes_per90,crosses_per90,crosses_accurate_per90
480,Bartosz Nowak,GKS Katowice,Pomocnik,84,2.7,31.11,69%,https://fantasy.ekstraklasa.org/player/480,"[{'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 8, 'p': True}, {'r': 30, 'pts': 2, 'p': True}, {'r': 31, 'pts': 5, 'p': True}, {'r': 32, 'pts': 0, 'p': False}]",,,,,,,
2234,Ali Gholizadeh,Lech Poznań,Pomocnik,79,2.6,30.38,19%,https://fantasy.ekstraklasa.org/player/2234,"[{'r': 28, 'pts': 5, 'p': True}, {'r': 29, 'pts': 6, 'p': True}, {'r': 30, 'pts': 10, 'p': True}, {'r': 31, 'pts': 3, 'p': True}, {'r': 32, 'pts': 0, 'p': False}]",Kontuzjowany,,,,,,
2423,Mbaye N'Diaye,Motor Lublin,Pomocnik,64,2.1,30.48,31%,https://fantasy.ekstraklasa.org/player/2423,"[{'r': 28, 'pts': 7, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 2, 'p': True}, {'r': 31, 'pts': 2, 'p': True}, {'r': 32, 'pts': 0, 'p': False}]",,,,,,,
2698,Leo Bengtsson,Lech Poznań,Pomocnik,64,2.2,29.09,19%,https://fantasy.ekstraklasa.org/player/2698,"[{'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 0, 'p': False}, {'r': 30, 'pts': 4, 'p': True}, {'r': 31, 'pts': 10, 'p': True}, {'r': 32, 'pts': 0, 'p': False}]",,,,,,,
951,Arkadiusz Jędrych,GKS Katowice,Obrońca,63,2.0,31.5,42%,https://fantasy.ekstraklasa.org/player/951,"[{'r': 28, 'pts': -3, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 9, 'p': True}, {'r': 31, 'pts': 3, 'p': True}, {'r': 32, 'pts': 0, 'p': False}]",,,,,,,
2205,Afimico Pululu,Jagiellonia Białystok,Napastnik,63,2.5,25.2,56%,https://fantasy.ekstraklasa.org/player/2205,"[{'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 10, 'p': True}, {'r': 30, 'pts': 5, 'p': True}, {'r': 32, 'pts': 0, 'p': False}, {'r': 32, 'pts': 0, 'p': False}]",,,,,,,
2123,Michał Gurgul,Lech Poznań,Obrońca,61,1.9,32.11,32%,https://fantasy.ekstraklasa.org/player/2123,"[{'r': 28, 'pts': 0, 'p': True}, {'r': 29, 'pts': 3, 'p': True}, {'r': 30, 'pts': 17, 'p': True}, {'r': 31, 'pts': 6, 'p': True}, {'r': 32, 'pts': 0, 'p': False}]",,,,,,,
2679,Paul Mukairu,Pogoń Szczecin,Pomocnik,60,2.1,28.57,8%,https://fantasy.ekstraklasa.org/player/2679,"[{'r': 28, 'pts': 9, 'p': True}, {'r': 29, 'pts': 7, 'p': True}, {'r': 30, 'pts': 2, 'p': True}, {'r': 31, 'pts': 6, 'p': True}, {'r': 32, 'pts': 0, 'p': False}]",,,,,,,
1475,Mikael Ishak,Lech Poznań,Napastnik,58,4.1,14.15,28%,https://fantasy.ekstraklasa.org/player/1475,"[{'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 3, 'p': True}, {'r': 30, 'pts': 12, 'p': True}, {'r': 31, 'pts': 3, 'p': True}, {'r': 32, 'pts': 0, 'p': False}]",,,,,,,
765,Jesús Imaz,Jagiellonia Białystok,Pomocnik,57,4.2,13.57,27%,https://fantasy.ekstraklasa.org/player/765,"[{'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 15, 'p': True}, {'r': 30, 'pts': 2, 'p': True}, {'r': 32, 'pts': 0, 'p': False}, {'r': 32, 'pts': 0, 'p': False}]",,,,,,,
